ShortName,LongName
GOSAT,Greenhouse Gases Observing Satellite
Aqua,"Earth Observing System, Aqua"
CloudSat,
Aura,"Earth Observing System, Aura"
GCOM-W1,Global Change Observation Mission 1st-Water
Nimbus-4,
NASA P-3,
C-131A,Convair C-131 Samaritan
Convair-580,Aircraft operated by University of Washington
J-31,J-31 aircraft
AC-690A,Aerocommander aircraft
NRL P-3,Aircraft operated by Naval Research Lab
CMS-Flux-V1,Carbon Monitoring System Flux V1
CASA-GFED3-V2,Carnegie-Ames-Stanford-Approach Global Fire Emissions Database 3 V2
FFDAS-V2,Fossil Fuel Data Assimilation System V2
ECCO2_Darwin-V3,"Estimating the Circulation and Climate of the Ocean, Phase II; Darwin-V3"
NCEP-CFSV2,NCEP Climate Forecast System Version 2
GLPM,Great Lakes Production Model
Environmental Modeling,
GEOS-Chem,Global 3-D chemical transport model (CTM) for atmospheric composition driven by meteorological input from the Goddard
MITgcm,Massachusetts Institute of Technology General Circulation Model
BLING,Biology Light Iron Nutrient and Gas model
Nimbus-5,
Noah-LSM,Noah Land Surface Model
CASA-GFED3-V3,Carnegie-Ames-Stanford-Approach Global Fire Emissions Database 3 V3
CLM-LSM,Common Land Model (CLM) Land Surface Model
Catchment-LSM,Catchment Land Surface Model
Mosaic-LSM,Mosaic Land Surface Model
VIC-LSM,Variable Infiltration Capacity (VIC) Land Surface Model
UARS,Upper Atmosphere Research Satellite
SCISAT-1/ACE,Atmospheric Chemistry Experiment
AEM-2,Applications Explorer Mission-2
ERBS,Earth Radiation Budget Satellite
Meteor-3M,
MERRA,Modern-Era Retrospective Analysis for Research and Applications
DMSP,Defense Meteorological Satellite Program
NOAA POES,NOAA Polar Orbiting Environmental Satellites
GOES,NOAA Geostationary Operational Environmental Satellites
METEOSAT,
GMS,Japan Geostationary Meteorological Satellite
MTSAT,Multi-functional Transport Satellite
Himawari-8,
WEATHER STATIONS,
GPM,Global Precipitation Measurement
TRMM,Tropical Rainfall Measuring Mission
DMSP 5D-2/F8,Defense Meteorological Satellite Program-F8
DMSP 5D-2/F10,Defense Meteorological Satellite Program-F10
DMSP 5D-2/F11,Defense Meteorological Satellite Program-F11
DMSP 5D-2/F13,Defense Meteorological Satellite Program-F13
DMSP 5D-2/F14,Defense Meteorological Satellite Program-F14
DMSP 5D-3/F15,Defense Meteorological Satellite Program-F15
DMSP 5D-3/F16,Defense Meteorological Satellite Program-F16
DMSP 5D-3/F17,Defense Meteorological Satellite Program-F17
DMSP 5D-3/F18,Defense Meteorological Satellite Program-F18
DMSP 5D-3/F19,Defense Meteorological Satellite Program-F19
METOP-A,Meteorological Operational Satellite - A
METOP-B,Meteorological Operational Satellite - B
METOP-C,Meteorological Operational Satellite - C
MT1,Megha-Tropiques
NOAA-15,National Oceanic & Atmospheric Administration-15
NOAA-16,National Oceanic & Atmospheric Administration-16
NOAA-17,National Oceanic & Atmospheric Administration-17
NOAA-18,National Oceanic & Atmospheric Administration-18
NOAA-19,National Oceanic & Atmospheric Administration-19
NOAA-20,Joint Polar Satellite System - 1
SUOMI-NPP,Suomi National Polar-orbiting Partnership
IMERG,Integrated Multi-satellitE Retrievals for GPM
Merged IR,NCEP/CPC L3 Half Hourly 4km Global (60S - 60N) Merged IR
TSX,TerraSAR-X
